_id,address,black1,black2,description,end_date,end_time,location,red1,red2,source,start_date,start_time,strike1,strike2,tags,title
FBydbFgdXBie8Dreu,Chicago,0,0,Chicago Cubs Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-08-20T05:00:00.000Z,7:05 PM,0,0,"[""sports""]",Atlanta Braves at Chicago Cubs
FP6AaPh77jtjuQ4ak,"Fuller Park, 331 W. 45th St, Chicago IL         60609",0,0,Dance to the drums during class with DJ Nick Nonstop. Then experience an African Contemporary exhibition with Ayodele Drum & Dance and Red Clay Dance Company. We also have arts and crafts in the Kidz Korner for a total family-fun event.,2015-08-29T05:00:00.000Z,6:00 PM,"{""coordinates"":[-87.63460839999999,41.8122536],""type"":""Point""}",0,0,parks,2015-08-29T05:00:00.000Z,4:00 PM,0,0,[],Rhythmic Fusion at Fuller
FYsKpoyx34f7D6vzC,"Ping Tom Memorial Park, 1700 S. Wentworth Ave., Chicago IL         60616",0,0,"In collaboration with the Department of Cultural Affairs and Special Events, Chicago SummerDance heads to the neighborhood parks. SummerDance in the Parks features a different genre of dance instruction followed by 2 hours of live music where patrons can show off their newly learned dance moves.    6-7pm: Dance Academy of Salsa (Salsa, Mambo, Cha-Cha-Cha)  7-9pm: El Caobo (Latin DJ - Salsa, Mambo and Bachata)     This concert takes place at 300 W. 19th Street beneath the pagoda structure. ",2015-09-03T05:00:00.000Z,9:00 PM,"{""coordinates"":[-87.63193569999999,41.8588278],""type"":""Point""}",0,0,parks,2015-09-03T05:00:00.000Z,6:00 PM,0,0,"[""art""]",SummerDance at Ping Tom
Fcwi9SXpJQXkT7DWB,"Midway Plaisance Park, 1130 Midway Plaisance North, Chicago IL         60637",0,0,"An enriching, enjoyable experience featuring ancient acoustic instruments including Veena, Kora, flamenco guitar, West Senegalese talking drum, and tabla.The raja blues band Surabhi fuses Indo, Afro, and flamenco musical elements. The rich classical ragas of South Indian Veena meld with African Kora grooves and funky flamenco beats. It makes for an enriching, enjoyable experience featuring ancient acoustic instruments including Veena, Kora, flamenco guitar, West Senegalese talking drum, and tabla.",2015-08-19T05:00:00.000Z,8:00 PM,"{""coordinates"":[-87.5962566,41.78722200000001],""type"":""Point""}",0,0,parks,2015-08-19T05:00:00.000Z,6:00 PM,0,0,[],Refreshing Raga Blues at Midway Pl
FmitD8Hh9pnLBJ5G9,"1625 W. Chicago Avenue, Chicago, IL 60622",0,0,"Unwind, relax and hang out with friends over some board games and video games!",2015-09-10T05:00:00.000Z,5:00pm,"{""coordinates"":[-87.668496,41.895745],""type"":""Point""}",0,0,library,2015-09-10T05:00:00.000Z,3:00pm,0,0,"[""entertainment""]",Teen Game Room
FoFa2qaS6WmjeLC94,Chicago,0,0,Chicago Cubs Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-09-19T05:00:00.000Z,12:05 PM,0,0,"[""sports""]",St. Louis Cardinals at Chicago Cubs
FrKpsERiL62ELD4Xp,"N Milwaukee Ave & W Ainslie St Chicago, IL 60630 ‎ ",,,"Since 1979, the Copernicus Foundation annually fulfills its mission for education and entertainment in another way, by sponsoring the annual “TASTE OF POLONIA Festival.”  During the festival there is a wide variety of live entertainment, food vendors serving the best of Polish cuisine, local bands playing a variety of genre, performances by ethnic dancers and musical groups, original arts and crafts, handiwork, imported items, as well as exhibits familiarizing festival goers with many aspects of Polish customs, culture, traditions and language. It has grown to be the largest Polish Festival in the country; visited by over 35,000.  The bands and music have become as much a draw as the great food and Polish beer.
 http://goo.gl/maps/QcRLC
About: http://www.topchicago.org/
Calendar: https://www.facebook.com/ChicagoCalendar
",2015-09-16T03:38:09.793Z,11:00:00 PM,"{""coordinates"":[-87.76124299999998,41.9684462],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.793Z,5:00:00 PM,,,"[""entertainment""]",Taste of Polonia
FxNhdXLdD9oThcbzX,"Shedd Aquarium, 1200 South Lake Shore Drive, Chicago, IL 60605, United States",,,"Shedd combines the best of early 20th-century “age of aquariums” characteristics—a diverse, global animal collection surrounded by eye-popping architecture—with 21st-century advances in animal care, environments and interpretation. 
 https://goo.gl/maps/kTUqS
About: http://www.sheddaquarium.org/Views/Pages/Content.aspx?id=3196

",2015-09-16T03:38:09.904Z,5:00:00 PM,"{""coordinates"":[-87.614038,41.8675726],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.904Z,9:00:00 AM,,,"[""entertainment""]",Shedd Aquarium Free
GBPJRiBkRvQSW2opj,"1625 W. Chicago Avenue, Chicago, IL 60622",0,0,"Unwind, relax and hang out with friends over some board games and video games!",2015-11-19T06:00:00.000Z,5:00pm,"{""coordinates"":[-87.668496,41.895745],""type"":""Point""}",0,0,library,2015-11-19T06:00:00.000Z,3:00pm,0,0,"[""entertainment""]",Teen Game Room
GBdeRXpwvFcmJEWdR,The Art Institute of Chicago,,,"FREE THURSDAYS ARE BACK! Beginning February 14, 2013, admission to the Art Institute of Chicago is free to Illinois residents every Thursday from 5:00 to 8:00 p.m. Admission to the Art Institute of Chicago is free to Illinois residents every weekday from January 7 through February 13, 2013. (Combining events for easy entry, note that after Feb 14th free entry begins at 5pm)
 http://goo.gl/maps/1FBhJ
About: http://www.artic.edu/aic/visitor_info/geninfo.html#hours

",2015-10-16T03:38:09.997Z,2:30:00 AM,"{""coordinates"":[-87.62371329999996,41.8795845],""type"":""Point""}",,,calendar,2015-10-16T03:38:09.997Z,5:00:00 PM,,,"[""art""]",Art Museum Free
GGWu4iE5nKZaFYHPh,"DuSable Museum of African American History, 740 East 56th Place, Chicago, IL 60637, United States",,,"To promote understanding and inspire appreciation of the achievements, contributions, and experiences of African Americans through exhibits, programs, and activities that illustrate African and African American history, culture and art.
 https://goo.gl/maps/yQHDd
About: http://www.dusablemuseum.org/visit/admission-information


",2015-09-16T03:38:09.866Z,5:00:00 PM,"{""coordinates"":[-87.60709930000002,41.7918148],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.866Z,12:00:00 PM,,,"[""art""]",DuSable Museum Free
GGzqKmFZbR7CFBgzf,"South Shore Cultural Center, ,   ",0,0,"Soundtracks brings all of the fun, excitement and entertainment of the movie to with a live performance by a band or other entertainers prior to the start of select Movie in the Parks showings. Not only are people getting a free movie, they are getting a free interactive performance too! With additional prizes and games, that will no doubt give families a reason to get up and get out early.",2015-08-26T05:00:00.000Z,8:00 PM,"{""coordinates"":[-87.56629850000002,41.7673406],""type"":""Point""}",0,0,parks,2015-08-26T05:00:00.000Z,6:00 PM,0,0,"[""entertainment""]",Sound Tracks at South Shore
GHiWJnwNQpM7fqY6S,"601 S Michigan Ave, Chicago, IL 60605, USA",,,"Individual themes TBA
Lessons: 6-7 p.m.
Live music: 7:30-9:30 p.m. 
 http://goo.gl/maps/15QE
About: http://www.chicagosummerdance.com

",2015-09-16T03:38:09.794Z,9:30:00 PM,"{""coordinates"":[-87.62415349999998,41.8743561],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.794Z,6:00:00 PM,,,"[""art""]",Summerdance -
GJpaB9mJeNhgmkx6t,"Chicago Children's Museum, 700 East Grand Avenue, Chicago, IL 60611, United States",,,"Chicago Children’s Museum is a place where families and caregivers with infants and children are encouraged to create, explore, and discover together through play. The museum features three vibrant floors of exhibits and activities that provide sensory experiences and engaging educational content focusing on literacy, science, math, visual and performing arts, and health.
 https://goo.gl/maps/6v93u
About: http://www.chicagochildrensmuseum.org/index.php/plan/free-discounted-visits


",2015-09-16T03:38:09.786Z,8:00:00 PM,"{""coordinates"":[-87.60914360000004,41.891408],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.786Z,5:00:00 PM,,,"[""art""]",Children's Museum Free
GP7vCD2uxvnvughqF,Anaheim,0,0,Los Angeles Angels Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-08-20T05:00:00.000Z,9:05 PM,0,0,"[""sports""]",Chicago White Sox at Los Angeles Angels
